id,subject,prompt,options,answerKey
"1","Operating Systems","Cite e dê uma breve explicação das 4 principais funções de um sistema operacional. (Responda no verso da folha)","","•	Gerenciamento de Processos: Controla a execução de programas, garantindo que cada processo tenha acesso aos recursos necessários.
•	Gerenciamento de Memória: Aloca e libera espaço na memória RAM para os processos em execução.
•	Gerenciamento de Dispositivos: Coordena o uso de dispositivos de entrada e saída, como teclado e impressora.
•	Gerenciamento de Arquivos: Organiza, armazena e recupera dados em discos e outros sistemas de armazenamento."
"2","Operating Systems","Sobre os principais sistemas operacionais, assinale a alternativa correta:","O Linux é um sistema operacional proprietário.;O Windows é amplamente utilizado em servidores.;O MacOS é desenvolvido pela Microsoft.;O Linux é conhecido por sua segurança e por ser Open Source.;O MacOS utiliza o kernel baseado no Linux.","O Linux é conhecido por sua segurança e por ser Open Source."
"3","Operating Systems","O que é o gerenciamento de processos?","Controle de dispositivos de entrada.;Controle de dispositivos de saída.;Alocação e controle de memória para processos em execução.;Organização e controle de programas em execução.;Controle de atualizações automáticas.","Organização e controle de programas em execução."
"4","Operating Systems","Qual das opções abaixo NÃO é considerada um dispositivo de entrada?","Mouse.;Teclado.;Monitor.;Microfone.;Scanner.","Monitor."
"5","Operating Systems","Qual das alternativas abaixo NÃO representa um sistema operacional?","Windows;Linux;MacOS;ChromeOS;Microsoft Office","Microsoft Office"
"6","Operating Systems","Cite três dispositivos de entrada e descreva sua função. (Responda no verso da folha)","","•	Teclado: Permite a entrada de dados textuais no computador.
•	Mouse: Permite a interação gráfica com o sistema, como clicar em ícones e menus.
•	Scanner: Converte documentos físicos em arquivos digitais."
"7","Operating Systems","Sobre a função do kernel no sistema operacional, é correto afirmar que:","Ele é responsável por gerenciar apenas os dispositivos de entrada.;Ele gerencia os recursos de hardware e possibilita a comunicação entre software e hardware.;Ele organiza os arquivos no computador.;Ele é a interface gráfica utilizada pelo usuário.;Ele não é essencial para o funcionamento do sistema operacional.","Ele gerencia os recursos de hardware e possibilita a comunicação entre software e hardware."
"8","Operating Systems","Quais são os dois tipos de memória de um computador? Explique. (Responda no verso da folha)","","•	RAM: Memória temporária e volátil.
•	Memória Secundária: Memória permanente, usada para armazenamento de longo prazo."
"9","Operating Systems","Associe corretamente os conceitos às suas definições:
I. Kernel
II. Interface Gráfica (GUI)
III. Gerenciamento de Memória
IV. Interface de Linha de Comando (CLI)

( ) Controla e aloca espaço na memória para processos em execução.
( ) Permite interação com o computador por meio de comandos de texto.
( ) Representa a camada central do sistema operacional.
( ) Utiliza menus, janelas e ícones para interação com o usuário.","III, IV, I, II;II, IV, III, I;III, II, I, IV;I, IV, III, II;I, II, IV, III","III, IV, I, II"
"10","Operating Systems","Sobre o gerenciamento de memória, é correto afirmar que:","Ele é exclusivo dos sistemas operacionais baseados em Linux.;Ele não tem relação com o desempenho do sistema.;Ele organiza e controla o uso da RAM pelos programas em execução.;Ele é realizado apenas por softwares externos ao sistema operacional.;Ele não é essencial para o funcionamento de aplicativos.","Ele organiza e controla o uso da RAM pelos programas em execução."
"11","Operating Systems","O que é a memória RAM?","Uma memória não volátil usada para armazenar dados permanentemente.;Um componente exclusivo de sistemas baseados em Linux.;Um dispositivo de entrada do sistema operacional.;Uma memória utilizada apenas em dispositivos móveis.;Um tipo de memória que armazena dados temporariamente enquanto o sistema está ligado.","Um tipo de memória que armazena dados temporariamente enquanto o sistema está ligado."
"12","Operating Systems","O que é hardware?","Um software que gerencia os recursos do computador.;A parte física do computador que podemos ver e tocar.;A interface gráfica utilizada pelo sistema operacional.;O núcleo do sistema operacional.;Nenhuma das alternativas.","A parte física do computador que podemos ver e tocar."
