id,subject,prompt,options,answerKey
"1","Aplicativos para Escritórios","Explique a diferença entre uma célula e uma planilha no LibreOffice Calc. (Responda no verso da folha)","","•	Célula: É a menor unidade da planilha, onde são inseridos dados ou fórmulas.
•	Planilha: É o conjunto de células organizadas em linhas e colunas, formando uma tabela."
"2","Aplicativos para Escritórios","Qual fórmula deve ser usada para somar os valores das células de A1 até A10 no LibreOffice Calc?","=SOMA(A1:A10);=MEDIA(A1:A10);=MAIOR(A1:A10);=A1+A10;=CONT.VALORES(A1:A10)","=SOMA(A1:A10)"
"3","Aplicativos para Escritórios","No LibreOffice Calc, para calcular a média dos valores de B2 até B8, qual função deve ser utilizada?","=SOMA(B2:B8);=MEDIA(B2:B8);=MÉDIA(B2:B8);=CONT.VALORES(B2:B8);=MÍNIMO(B2:B8)","=MEDIA(B2:B8)"
"4","Aplicativos para Escritórios","Qual dos itens abaixo NÃO é um tipo de gráfico disponível no LibreOffice Calc?","Gráfico de Colunas;Gráfico de Pizza;Gráfico de Dispersão;Gráfico de Fluxo;Gráfico de Linhas","Gráfico de Fluxo"
"5","Aplicativos para Escritórios","Para copiar o conteúdo de uma célula para outra no Calc, qual o atalho de teclado padrão?","Ctrl+C (copiar) e Ctrl+V (colar);Ctrl+S;Ctrl+P;Ctrl+N;Ctrl+Z","Ctrl+C (copiar) e Ctrl+V (colar)"
"6","Aplicativos para Escritórios","Explique o que acontece ao arrastar a alça de preenchimento de uma célula com valor 1 e, em seguida, de uma célula ao lado com valor 2.","Nada acontece.;Repete o valor 1 em todas as células.;Preenche com números sequenciais (1, 2, 3, ...);Apaga os valores das células.;Preenche com zeros.","Preenche com números sequenciais (1, 2, 3, ...)"
"7","Aplicativos para Escritórios","No Calc, qual dos comandos abaixo insere a data atual na célula selecionada?","Ctrl+Shift+F3;Ctrl+; (ponto e vírgula);Ctrl+Shift+; (ponto e vírgula);Ctrl+F2;Ctrl+D","Ctrl+; (ponto e vírgula)"
"8","Aplicativos para Escritórios","Para transformar o texto de uma célula em maiúsculas, qual função pode ser usada no Calc?","=MINUSCULA(A1);=MAIUSCULA(A1);=CONCATENAR(A1);=PROCURAR(A1);=ALEATÓRIO()","=MAIUSCULA(A1)"
"9","Aplicativos para Escritórios","Associe corretamente as funções às suas descrições:
I. SOMA
II. MÍNIMO
III. MÁXIMO
IV. CONT.VALORES

( ) Retorna o menor valor de um intervalo.
( ) Retorna o número de células preenchidas em um intervalo.
( ) Retorna o maior valor de um intervalo.
( ) Retorna a soma dos valores em um intervalo.","II, IV, III, I;I, IV, II, III;II, I, III, IV;IV, I, II, III;III, II, IV, I","II, IV, III, I"
"10","Aplicativos para Escritórios","Qual das alternativas abaixo é correta sobre referências absolutas em fórmulas do Calc?","Mudam automaticamente ao copiar a fórmula.;São indicadas pelo uso do símbolo $ (cifrão), como em $A$1.;Apenas letras minúsculas são usadas.;Só funcionam em planilhas protegidas.;Não podem ser usadas em fórmulas.","São indicadas pelo uso do símbolo $ (cifrão), como em $A$1."
